n,ratio
944,3.1314
945,3.1323
946,3.1332
947,3.1341
948,3.135
949,3.1359
950,3.1368
951,3.1377
952,3.1387
953,3.1354
954,3.1363
955,3.1372
956,3.1381
957,3.1348
958,3.1357
959,3.1366
960,3.1375
961,3.1384
962,3.1393
963,3.1402
964,3.1411
965,3.142
966,3.1429
967,3.1437
968,3.1405
969,3.1414
970,3.1381
971,3.139
972,3.1399
973,3.1408
974,3.1417
975,3.1426
976,3.1434
977,3.1402
978,3.137
979,3.1379
980,3.1388
981,3.1397
982,3.1405
983,3.1414
984,3.1423
985,3.1431
986,3.144
987,3.1449
988,3.1457
989,3.1466
990,3.1475
991,3.1443
992,3.1452
993,3.146
994,3.1469
995,3.1477
996,3.1486
997,3.1494
998,3.1503
999,3.1512
1000,3.148
